City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,margate,51.3813,1.3862,278.54,74,35,1.34,GB,1674413676
160,baruun-urt,46.6806,113.2792,240.34,97,24,2.27,MN,1674413843
161,ocampo,21.65,-101.5,292.42,21,0,6.34,MX,1674413844
162,qalyub,30.1792,31.2056,290.59,63,99,4.5,EG,1674413845
163,tezu,27.9167,96.1667,286.9,38,0,1.89,IN,1674413845
164,tuktoyaktuk,69.4541,-133.0374,258.15,85,100,1.03,CA,1674413846
165,oistins,13.0667,-59.5333,301.2,69,40,9.26,BB,1674413846
166,yelan-kolenovskiy,51.1632,41.151,269.21,84,99,5.27,RU,1674413846
167,havoysund,70.9963,24.6622,277.28,80,98,4.71,NO,1674413847
168,avarua,-21.2078,-159.775,300.18,78,75,1.03,CK,1674413847
169,ambon,-3.6954,128.1814,298.28,16,40,1.54,ID,1674413848
170,santa rosalia,27.3167,-112.2833,289.72,32,0,3.08,MX,1674413848
171,saldanha,-33.0117,17.9442,293.18,82,0,8.31,ZA,1674413849
172,atikokan,48.7555,-91.6216,267.35,90,100,1.62,CA,1674413849
173,carnarvon,-24.8667,113.6333,296.95,78,0,9.1,AU,1674413850
174,gat,31.61,34.7642,290.04,100,0,1.81,IL,1674413850
175,aurillac,44.9167,2.45,269.64,86,100,3.6,FR,1674413851
176,loukhi,66.0764,33.0381,267.06,84,39,4.37,RU,1674413851
177,zemio,5.0314,25.1361,298.22,25,90,0.78,CF,1674413852
178,kavieng,-2.5744,150.7967,300.68,76,100,4.64,PG,1674413852
179,mizdah,31.4451,12.9801,282.56,68,7,4.65,LY,1674413852
180,volksrust,-27.3654,29.8818,288.56,52,7,2.98,ZA,1674413853
181,yuncheng,35.0231,110.9928,272.35,53,100,1.21,CN,1674413853
182,tynda,55.1667,124.7167,234.97,95,100,1.74,RU,1674413854
183,mollendo,-17.0231,-72.0147,296.84,72,8,3.45,PE,1674413854
184,victoria,22.2855,114.1577,292.18,90,22,1.79,HK,1674413729
185,bathsheba,13.2167,-59.5167,301.49,69,40,9.26,BB,1674413855
186,hailey,43.5196,-114.3153,263.59,79,75,2.06,US,1674413855
187,fort nelson,58.8053,-122.7002,263.92,92,20,0.0,CA,1674413856
188,lugovoy,42.9472,72.7644,260.97,83,10,1.85,KZ,1674413856
189,seoul,37.5683,126.9778,271.84,84,75,1.03,KR,1674413652
190,kirakira,-10.4544,161.9205,299.38,83,100,1.25,SB,1674413857
191,general roca,-39.0333,-67.5833,305.72,17,5,3.9,AR,1674413857
192,kaeo,-35.1,173.7833,290.0,96,32,2.17,NZ,1674413858
193,torbay,47.6666,-52.7314,271.8,94,75,9.26,CA,1674413858
194,opuwo,-18.0607,13.84,295.82,58,99,3.02,NA,1674413859
195,vardo,70.3705,31.1107,272.14,86,0,9.77,NO,1674413859
196,chuy,-33.6971,-53.4616,299.95,53,56,7.18,UY,1674413860
197,birnin kebbi,12.4539,4.1975,301.28,15,26,3.14,NG,1674413860
198,los llanos de aridane,28.6585,-17.9182,289.89,87,100,6.69,ES,1674413861
199,jiazi,22.8779,116.067,290.38,89,51,3.71,CN,1674413861
200,paro,27.4305,89.4133,275.4,75,12,1.74,BT,1674413862
201,archidona,37.0965,-4.3887,281.15,47,0,2.51,ES,1674413862
202,tiksi,71.6872,128.8694,244.99,89,100,1.69,RU,1674413862
203,viransehir,37.2353,39.7631,281.49,50,0,1.88,TR,1674413863
204,okha,53.5739,142.9478,243.74,91,85,8.29,RU,1674413863
205,karaj,35.8355,51.0103,274.44,80,2,4.12,IR,1674413864
206,manggar,-2.8833,108.2667,298.5,86,100,2.68,ID,1674413864
207,ngunguru,-35.6167,174.5,290.26,90,31,3.11,NZ,1674413864
208,killybegs,54.6333,-8.45,281.99,90,99,2.64,IE,1674413865
209,waingapu,-9.6567,120.2641,297.48,79,98,1.81,ID,1674413865
210,kamphaeng phet,16.25,99.5,294.3,44,100,1.65,TH,1674413866
211,portsmouth,50.799,-1.0913,273.94,84,84,1.59,GB,1674413751
212,bubaque,11.2833,-15.8333,297.0,68,3,7.53,GW,1674413866
213,khombole,14.7667,-16.7,297.6,44,0,5.75,SN,1674413867
214,gigmoto,13.7796,124.39,297.62,90,99,5.45,PH,1674413867
215,sagana,-0.6667,37.2,290.39,80,100,1.9,KE,1674413868
216,hami,42.8,93.45,260.64,33,0,4.86,CN,1674413868
217,katsuura,35.1333,140.3,280.09,82,100,6.48,JP,1674413869
218,zhigansk,66.7697,123.3711,235.21,95,100,2.81,RU,1674413869
219,dikson,73.5069,80.5464,251.47,95,100,12.41,RU,1674413870
220,sur,22.5667,59.5289,292.02,61,38,5.43,OM,1674413870
221,koslan,63.4564,48.8989,259.52,99,100,2.04,RU,1674413871
222,tual,-5.6667,132.75,300.34,80,100,7.25,ID,1674413871
223,krasnoselkup,65.7,82.4667,252.27,97,100,5.09,RU,1674413872
224,lavrentiya,65.5833,-171.0,243.18,93,41,4.29,RU,1674413872
225,klyuchi,52.2667,79.1667,261.66,88,100,6.84,RU,1674413873
226,pagudpud,18.5616,120.7868,297.06,81,100,1.66,PH,1674413873
227,werda,-25.2667,23.2833,304.02,21,55,3.51,BW,1674413873
228,aksu,41.1231,80.2644,258.85,84,5,3.14,CN,1674413874
229,banjar,-8.19,114.9675,297.6,92,100,1.19,ID,1674413874
230,boma,7.0805,-2.1697,304.04,28,100,0.44,GH,1674413875
231,touros,-5.1989,-35.4608,301.54,67,17,5.35,BR,1674413875
232,warmbad,-28.45,18.7333,303.33,25,6,8.93,NA,1674413876
233,bethel,41.3712,-73.414,278.35,65,100,1.34,US,1674413876
234,bagdarin,54.4333,113.6,241.79,82,100,1.87,RU,1674413876
235,yamada,39.4667,141.95,271.02,59,10,1.68,JP,1674413877
236,tasiilaq,65.6145,-37.6368,258.01,51,51,4.07,GL,1674413877
237,airai,-8.9266,125.4092,288.89,93,100,0.48,TL,1674413878
238,roald,62.5833,6.1333,280.23,57,0,9.26,NO,1674413878
239,nikolayevsk-na-amure,53.1406,140.73,239.06,97,79,1.98,RU,1674413879
240,derzhavinsk,51.1,66.3167,258.49,79,82,4.1,KZ,1674413879
241,marsh harbour,26.5412,-77.0636,298.25,76,77,8.69,BS,1674413879
242,port-cartier,50.0334,-66.8654,267.45,81,100,3.25,CA,1674413880
243,muriwai beach,-36.8167,174.45,292.27,97,32,3.39,NZ,1674413880
244,aleksandrov gay,50.147,48.5704,267.7,68,17,3.56,RU,1674413881
245,ahipara,-35.1667,173.1667,290.99,89,21,2.68,NZ,1674413881
246,sitka,57.0531,-135.33,275.65,93,100,2.99,US,1674413882
247,nouakchott,18.0858,-15.9785,297.11,65,0,6.19,MR,1674413611
248,prince george,53.9166,-122.753,268.49,85,0,4.63,CA,1674413848
249,key west,24.5557,-81.7826,301.15,72,20,7.72,US,1674413392
250,nome,64.5011,-165.4064,242.85,91,14,3.19,US,1674413883
251,araouane,18.9048,-3.5265,296.18,11,0,4.29,ML,1674413884
252,ternate,0.8,127.4,299.15,84,100,2.36,ID,1674413884
253,challapata,-18.9,-66.7667,292.66,22,100,7.25,BO,1674413885
254,zlatograd,41.3833,25.1,282.06,91,11,0.62,BG,1674413885
255,ancud,-41.8697,-73.8203,290.75,73,26,4.0,CL,1674413885
256,ambilobe,-13.2,49.05,296.33,95,100,2.15,MG,1674413663
257,djibo,14.1022,-1.6306,301.83,11,39,3.39,BF,1674413886
258,roma,43.2128,-75.4557,275.83,82,100,0.89,US,1674413671
259,lloydminster,53.2835,-110.0016,275.27,69,75,8.75,CA,1674413627
260,bayangol,50.6977,103.4656,233.66,95,12,1.36,RU,1674413887
261,mutoko,-17.397,32.2268,291.25,92,100,1.53,ZW,1674413888
262,san policarpo,12.1791,125.5072,299.31,83,96,6.95,PH,1674413888
263,nioro,13.35,-15.75,301.31,22,2,3.16,GM,1674413889
264,mantua,45.1667,10.7833,279.46,78,100,0.89,IT,1674413889
265,grindavik,63.8424,-22.4338,274.41,60,75,17.49,IS,1674413890
266,bairiki,1.3292,172.9752,300.15,83,20,4.12,KI,1674413891
267,mayo,38.8876,-76.5119,278.99,82,100,2.57,US,1674413891
268,bitam,2.076,11.5007,297.33,72,100,2.48,GA,1674413892
269,ust-maya,60.4167,134.5333,228.4,98,100,0.33,RU,1674413892
270,springbok,-29.6643,17.8865,294.28,54,2,2.72,ZA,1674413893
271,souillac,-20.5167,57.5167,299.36,83,75,1.54,MU,1674413893
272,lebyazhye,55.2689,66.4947,265.33,85,100,5.98,RU,1674413894
273,severo-kurilsk,50.6789,156.125,261.93,64,38,2.24,RU,1674413638
274,aklavik,68.2191,-135.0107,255.15,78,100,4.12,CA,1674413895
275,arman,59.7,150.1667,246.56,82,29,4.27,RU,1674413896
276,liwale,-9.7667,37.9333,294.25,96,100,0.97,TZ,1674413896
277,san miguel,13.4833,-88.1833,307.81,25,24,1.61,SV,1674413897
278,sao filipe,14.8961,-24.4956,294.17,65,14,6.93,CV,1674413897
279,ugoofaaru,5.6667,73.0,299.88,71,100,4.21,MV,1674413898
280,imeni zhelyabova,58.9544,36.5956,257.81,99,76,1.7,RU,1674413898
281,kenai,60.5544,-151.2583,267.2,73,75,3.09,US,1674413697
282,shimoda,34.6667,138.95,278.76,68,100,4.16,JP,1674413899
283,biak,-0.9131,122.8766,297.37,83,100,1.75,ID,1674413899
284,tomino,41.9877,-8.755,283.81,70,19,2.03,ES,1674413900
285,bandar,2.05,99.75,295.72,98,100,1.12,ID,1674413900
286,narsaq,60.9167,-46.05,260.72,65,1,4.09,GL,1674413901
287,naze,28.3667,129.4833,291.66,83,48,7.63,JP,1674413902
288,hithadhoo,-0.6,73.0833,300.46,76,18,5.36,MV,1674413902
289,kuytun,54.3419,101.5036,229.49,100,55,1.75,RU,1674413902
290,doha,25.2867,51.5333,293.09,72,20,2.57,QA,1674413903
291,namatanai,-3.6667,152.4333,298.9,82,100,3.01,PG,1674413904
292,vila franca do campo,37.7167,-25.4333,287.38,87,93,4.29,PT,1674413904
293,wattegama,6.7989,81.4808,294.81,94,100,2.0,LK,1674413905
294,prince rupert,54.3161,-130.3201,276.98,86,100,10.8,CA,1674413905
295,graaff-reinet,-32.2522,24.5308,293.11,93,100,1.09,ZA,1674413615
296,teahupoo,-17.8333,-149.2667,295.13,72,100,4.75,PF,1674413906
297,rio branco,-9.9747,-67.81,302.49,74,40,5.14,BR,1674413907
298,nuuk,64.1835,-51.7216,270.45,91,100,17.32,GL,1674413907
299,makarska,43.2969,17.0178,281.59,74,100,4.78,HR,1674413908
300,goundam,16.4145,-3.6708,299.88,10,3,3.84,ML,1674413662
301,pangody,65.85,74.4859,256.64,97,100,1.23,RU,1674413908
302,toritama,-8.0067,-36.0567,306.42,33,65,5.87,BR,1674413909
303,broome,42.2506,-75.833,275.76,78,100,3.13,US,1674413909
304,chokurdakh,70.6333,147.9167,231.36,99,67,2.88,RU,1674413910
305,iqaluit,63.7506,-68.5145,259.0,92,75,1.54,CA,1674413910
306,zastron,-30.3023,27.084,293.61,57,63,4.72,ZA,1674413911
307,lebu,-37.6167,-73.65,291.95,74,3,6.2,CL,1674413911
308,college,64.8569,-147.8028,236.55,98,33,1.27,US,1674413912
309,manokwari,-0.8667,134.0833,298.05,86,100,1.55,ID,1674413912
310,reinosa,42.9996,-4.138,271.74,96,97,2.92,ES,1674413913
311,porto novo,6.4965,2.6036,302.05,75,100,4.33,BJ,1674413913
312,melito di porto salvo,37.9222,15.7714,282.15,87,100,4.12,IT,1674413913
313,sisimiut,66.9395,-53.6735,267.55,95,100,9.52,GL,1674413914
314,silleda,42.696,-8.2465,277.92,67,92,1.2,ES,1674413914
315,gadung,6.8025,124.02,297.76,82,100,3.23,PH,1674413915
316,malinovoye ozero,51.6753,79.7825,258.75,76,96,5.67,RU,1674413915
317,roros,62.5747,11.3842,252.06,84,0,1.03,NO,1674413916
318,mangrol,21.1167,70.1167,290.23,43,1,5.95,IN,1674413916
319,kindu,-2.95,25.95,295.47,83,38,0.73,CD,1674413916
320,noumea,-22.2763,166.4572,300.93,99,85,1.86,NC,1674413917
321,changji,44.0167,87.3167,254.59,84,0,1.0,CN,1674413917
322,jaguaruana,-4.8339,-37.7811,303.98,53,22,5.49,BR,1674413918
323,puerto madryn,-42.7692,-65.0385,294.25,56,24,8.06,AR,1674413918
324,lensk,60.7253,114.9278,237.9,90,100,5.57,RU,1674413919
325,mokhsogollokh,61.4681,128.9203,231.54,98,99,1.78,RU,1674413919
326,sheregesh,52.9209,87.9869,251.33,94,100,1.67,RU,1674413919
327,kpandae,8.4689,-0.0113,307.07,22,38,2.47,GH,1674413920
328,thinadhoo,0.5333,72.9333,300.38,75,30,6.24,MV,1674413642
329,mildura,-34.2,142.15,294.14,52,0,4.18,AU,1674413921
330,saint george,37.1041,-113.5841,273.48,64,0,1.54,US,1674413686
331,ojinaga,29.5667,-104.4167,287.91,30,0,3.09,MX,1674413921
332,pacific grove,36.6177,-121.9166,286.49,76,93,4.02,US,1674413922
333,hasaki,35.7333,140.8333,277.37,73,100,6.2,JP,1674413922
334,zonguldak,41.25,31.8333,280.27,67,97,1.33,TR,1674413923
335,poum,-20.2333,164.0167,299.71,79,100,2.94,NC,1674413923
336,aquiraz,-3.9014,-38.3911,303.2,71,22,3.83,BR,1674413924
337,san pedro,14.35,121.0167,298.72,83,20,1.03,PH,1674413924
338,porto murtinho,-21.6989,-57.8825,310.38,32,86,4.07,BR,1674413925
339,bolitoc,15.7395,119.8769,297.88,76,97,1.46,PH,1674413925
340,ozu,33.5,132.55,277.69,97,100,3.65,JP,1674413926
341,guerrero negro,27.9769,-114.0611,289.91,37,0,4.38,MX,1674413926
342,qeshm,26.9581,56.2719,290.09,40,7,9.31,IR,1674413926
343,lewiston,44.1003,-70.2148,271.99,82,100,3.22,US,1674413927
344,paddhari,22.4333,70.6,288.58,37,0,3.22,IN,1674413927
345,havelock,34.8791,-76.9013,288.14,88,100,2.24,US,1674413927
346,vestmannaeyjar,63.4427,-20.2734,275.7,60,75,16.46,IS,1674413928
347,finnsnes,69.2296,17.9811,278.49,86,47,1.83,NO,1674413928
348,qandala,11.472,49.8728,296.84,67,36,4.51,SO,1674413929
349,muncar,-8.4333,114.3333,295.85,90,98,1.38,ID,1674413930
350,meulaboh,4.1363,96.1285,296.64,92,100,1.66,ID,1674413930
351,ballina,-28.8667,153.5667,291.92,99,82,0.75,AU,1674413930
352,stornoway,58.2093,-6.3865,281.13,94,75,0.51,GB,1674413931
353,chuzhou,32.3219,118.2978,278.16,92,100,2.16,CN,1674413932
354,algete,40.5971,-3.4974,278.96,53,0,9.77,ES,1674413932
355,vieux-habitants,16.0589,-61.7659,300.91,69,22,6.18,GP,1674413932
356,salekhard,66.53,66.6019,261.85,87,19,3.89,RU,1674413933
